ability,trait,value,table_name
Induction,Modesty,-0.1,argeeableness
Induction,Non manipulative,,argeeableness
Induction,Warmth,-0.282842712474619,argeeableness
Induction,Interpersonal sensitivity,,argeeableness
Induction,Customer service,,argeeableness
Induction,Trust,,argeeableness
Induction,Machiavellianism,,argeeableness
Induction,Self monitoring,,argeeableness
Induction,Conscientiousness,-0.2645751311064591,argeeableness
Induction,Industriousness,,argeeableness
Induction,Orderliness,-0.41231056256176607,argeeableness
Induction,Achievement,-0.0,argeeableness
Induction,Persistence,,argeeableness
Induction,Dependability,-0.17320508075688773,argeeableness
Induction,Cautiousness,-0.0,argeeableness
Induction,Orderliness,,argeeableness
Induction,Procrastination avoidness,,argeeableness
Induction,Routine seeking,-0.565685424949238,argeeableness
Induction,Cold efficiency,,argeeableness
Induction,Judging-Perceiving,-0.41231056256176607,argeeableness
Induction,Self control,-0.17320508075688773,argeeableness
Induction,Type A,-0.17320508075688773,argeeableness
Induction,Achievement via Independence,,argeeableness
Induction,Rugged individualism,,argeeableness
General Sequential Reasoning,Agreeableness,-0.1414213562373095,argeeableness
General Sequential Reasoning,Compassion,-0.5099019513592785,argeeableness
General Sequential Reasoning,Politeness,-0.0,argeeableness
General Sequential Reasoning,Tender Mindedness,-0.17320508075688773,argeeableness
General Sequential Reasoning,Nurturance,,argeeableness
General Sequential Reasoning,Cooperation,-0.1,argeeableness
General Sequential Reasoning,Lack of aggression,-0.1414213562373095,argeeableness
General Sequential Reasoning,Modesty,,argeeableness
General Sequential Reasoning,Non manipulative,,argeeableness
General Sequential Reasoning,Warmth,-0.36055512754639896,argeeableness
General Sequential Reasoning,Interpersonal sensitivity,-0.22360679774997896,argeeableness
General Sequential Reasoning,Customer service,-0.4898979485566356,argeeableness
General Sequential Reasoning,Trust,,argeeableness
General Sequential Reasoning,Machiavellianism,,argeeableness
General Sequential Reasoning,Self monitoring,-0.0,argeeableness
General Sequential Reasoning,Conscientiousness,-0.282842712474619,argeeableness
General Sequential Reasoning,Industriousness,-0.2449489742783178,argeeableness
General Sequential Reasoning,Orderliness,-0.33166247903553997,argeeableness
General Sequential Reasoning,Achievement,,argeeableness
General Sequential Reasoning,Persistence,,argeeableness
General Sequential Reasoning,Dependability,,argeeableness
General Sequential Reasoning,Cautiousness,-0.43588989435406733,argeeableness
General Sequential Reasoning,Orderliness,-0.4,argeeableness
General Sequential Reasoning,Procrastination avoidness,-0.0,argeeableness
General Sequential Reasoning,Routine seeking,,argeeableness
General Sequential Reasoning,Cold efficiency,,argeeableness
General Sequential Reasoning,Judging-Perceiving,-0.3,argeeableness
General Sequential Reasoning,Self control,-0.0,argeeableness
General Sequential Reasoning,Type A,,argeeableness
General Sequential Reasoning,Achievement via Independence,-0.3,argeeableness
General Sequential Reasoning,Rugged individualism,,argeeableness
Quantitative Reasoning,Agreeableness,-0.282842712474619,argeeableness
Quantitative Reasoning,Compassion,-0.22360679774997896,argeeableness
Quantitative Reasoning,Politeness,-0.469041575982343,argeeableness
Quantitative Reasoning,Tender Mindedness,-0.22360679774997896,argeeableness
Quantitative Reasoning,Nurturance,-0.4242640687119285,argeeableness
Quantitative Reasoning,Cooperation,,argeeableness
Quantitative Reasoning,Lack of aggression,,argeeableness
Quantitative Reasoning,Modesty,-0.34641016151377546,argeeableness
Quantitative Reasoning,Non manipulative,-0.1414213562373095,argeeableness
Quantitative Reasoning,Warmth,-0.4,argeeableness
Quantitative Reasoning,Interpersonal sensitivity,,argeeableness
Quantitative Reasoning,Customer service,,argeeableness
Quantitative Reasoning,Trust,,argeeableness
Quantitative Reasoning,Machiavellianism,,argeeableness
Quantitative Reasoning,Self monitoring,-0.0,argeeableness
Quantitative Reasoning,Conscientiousness,-0.2645751311064591,argeeableness
Quantitative Reasoning,Industriousness,-0.3,argeeableness
Quantitative Reasoning,Orderliness,-0.4898979485566356,argeeableness
Quantitative Reasoning,Achievement,,argeeableness
Quantitative Reasoning,Persistence,-0.282842712474619,argeeableness
Quantitative Reasoning,Dependability,,argeeableness
Quantitative Reasoning,Cautiousness,,argeeableness
Quantitative Reasoning,Orderliness,-0.0,argeeableness
Quantitative Reasoning,Procrastination avoidness,,argeeableness
Quantitative Reasoning,Routine seeking,-0.469041575982343,argeeableness
Quantitative Reasoning,Cold efficiency,-0.0,argeeableness
Quantitative Reasoning,Judging-Perceiving,-0.469041575982343,argeeableness
Quantitative Reasoning,Self control,-0.43588989435406733,argeeableness
Quantitative Reasoning,Type A,-0.0,argeeableness
Quantitative Reasoning,Achievement via Independence,,argeeableness
Quantitative Reasoning,Rugged individualism,,argeeableness
Memory,Agreeableness,,argeeableness
Memory,Compassion,-0.0,argeeableness
Memory,Politeness,-0.0,argeeableness
Memory,Tender Mindedness,,argeeableness
Memory,Nurturance,,argeeableness
Memory,Cooperation,-0.2645751311064591,argeeableness
Memory,Lack of aggression,-0.1,argeeableness
Memory,Modesty,,argeeableness
Memory,Non manipulative,,argeeableness
Memory,Warmth,,argeeableness
Memory,Interpersonal sensitivity,-0.0,argeeableness
Memory,Customer service,-0.0,argeeableness
Memory,Trust,,argeeableness
Memory,Machiavellianism,-0.0,argeeableness
Memory,Self monitoring,-0.0,argeeableness
Memory,Conscientiousness,,argeeableness
Memory,Industriousness,,argeeableness
Memory,Orderliness,,argeeableness
Memory,Achievement,,argeeableness
Memory,Persistence,-0.0,argeeableness
Memory,Dependability,,argeeableness
Memory,Cautiousness,-0.31622776601683794,argeeableness
Memory,Orderliness,,argeeableness
Memory,Procrastination avoidness,-0.0,argeeableness
Memory,Routine seeking,-0.7,argeeableness
Memory,Cold efficiency,-0.0,argeeableness
Memory,Judging-Perceiving,-0.0,argeeableness
Memory,Self control,-0.0,argeeableness
Memory,Type A,-0.0,argeeableness
Memory,Achievement via Independence,-0.0,argeeableness
Memory,Rugged individualism,-0.0,argeeableness
Long Term Storage and Retrieval,Agreeableness,-0.1414213562373095,argeeableness
Long Term Storage and Retrieval,Compassion,,argeeableness
Long Term Storage and Retrieval,Politeness,-0.1414213562373095,argeeableness
Long Term Storage and Retrieval,Tender Mindedness,-0.0,argeeableness
Long Term Storage and Retrieval,Nurturance,-0.0,argeeableness
Long Term Storage and Retrieval,Cooperation,-0.0,argeeableness
Long Term Storage and Retrieval,Lack of aggression,-0.0,argeeableness
Long Term Storage and Retrieval,Modesty,-0.0,argeeableness
Long Term Storage and Retrieval,Non manipulative,-0.34641016151377546,argeeableness
Long Term Storage and Retrieval,Warmth,,argeeableness
Long Term Storage and Retrieval,Interpersonal sensitivity,-0.0,argeeableness
Long Term Storage and Retrieval,Customer service,-0.0,argeeableness
Long Term Storage and Retrieval,Trust,-0.0,argeeableness
Long Term Storage and Retrieval,Machiavellianism,-0.0,argeeableness
Long Term Storage and Retrieval,Self monitoring,-0.0,argeeableness
Long Term Storage and Retrieval,Conscientiousness,,argeeableness
Long Term Storage and Retrieval,Industriousness,,argeeableness
Long Term Storage and Retrieval,Orderliness,,argeeableness
Long Term Storage and Retrieval,Achievement,,argeeableness
Long Term Storage and Retrieval,Persistence,-0.0,argeeableness
Long Term Storage and Retrieval,Dependability,,argeeableness
Long Term Storage and Retrieval,Cautiousness,-0.0,argeeableness
Long Term Storage and Retrieval,Orderliness,-0.0,argeeableness
Long Term Storage and Retrieval,Procrastination avoidness,-0.0,argeeableness
Long Term Storage and Retrieval,Routine seeking,-0.0,argeeableness
Long Term Storage and Retrieval,Cold efficiency,-0.0,argeeableness
Long Term Storage and Retrieval,Judging-Perceiving,-0.17320508075688773,argeeableness
Long Term Storage and Retrieval,Self control,-0.0,argeeableness
Long Term Storage and Retrieval,Type A,-0.0,argeeableness
Long Term Storage and Retrieval,Achievement via Independence,-0.0,argeeableness
Long Term Storage and Retrieval,Rugged individualism,-0.1414213562373095,argeeableness
Learning Efficiency,Agreeableness,,argeeableness
Learning Efficiency,Compassion,,argeeableness
Learning Efficiency,Politeness,,argeeableness
Learning Efficiency,Tender Mindedness,-0.1414213562373095,argeeableness
Learning Efficiency,Nurturance,,argeeableness
Learning Efficiency,Cooperation,,argeeableness
Learning Efficiency,Lack of aggression,-0.0,argeeableness
Learning Efficiency,Modesty,-0.2,argeeableness
Learning Efficiency,Non manipulative,,argeeableness
Learning Efficiency,Warmth,,argeeableness
Learning Efficiency,Interpersonal sensitivity,-0.0,argeeableness
Learning Efficiency,Customer service,-0.0,argeeableness
Learning Efficiency,Trust,,argeeableness
Learning Efficiency,Machiavellianism,-0.0,argeeableness
Learning Efficiency,Self monitoring,-0.0,argeeableness
Learning Efficiency,Conscientiousness,,argeeableness
Learning Efficiency,Industriousness,,argeeableness
Learning Efficiency,Orderliness,-0.282842712474619,argeeableness
Learning Efficiency,Achievement,-0.0,argeeableness
Learning Efficiency,Persistence,-0.31622776601683794,argeeableness
Learning Efficiency,Dependability,,argeeableness
Learning Efficiency,Cautiousness,,argeeableness
Learning Efficiency,Orderliness,,argeeableness
Learning Efficiency,Procrastination avoidness,-0.0,argeeableness
Learning Efficiency,Routine seeking,-0.0,argeeableness
Learning Efficiency,Cold efficiency,-0.0,argeeableness
Learning Efficiency,Judging-Perceiving,-0.0,argeeableness
Learning Efficiency,Self control,-0.0,argeeableness
Learning Efficiency,Type A,-0.0,argeeableness
Learning Efficiency,Achievement via Independence,-0.0,argeeableness
Learning Efficiency,Rugged individualism,-0.0,argeeableness
Associative Memory,Agreeableness,,argeeableness
Associative Memory,Compassion,-0.0,argeeableness
Associative Memory,Politeness,-0.0,argeeableness
Associative Memory,Tender Mindedness,-0.0,argeeableness
Associative Memory,Nurturance,-0.1,argeeableness
Associative Memory,Cooperation,-0.5,argeeableness
Associative Memory,Lack of aggression,-0.0,argeeableness
Associative Memory,Modesty,-0.0,argeeableness
Associative Memory,Non manipulative,,argeeableness
Associative Memory,Warmth,,argeeableness
Associative Memory,Interpersonal sensitivity,,argeeableness
Associative Memory,Customer service,-0.0,argeeableness
Associative Memory,Trust,-0.1,argeeableness
Associative Memory,Machiavellianism,-0.0,argeeableness
Associative Memory,Self monitoring,-0.0,argeeableness
Associative Memory,Conscientiousness,-0.37416573867739417,argeeableness
Associative Memory,Industriousness,-0.0,argeeableness
Associative Memory,Orderliness,,argeeableness
Associative Memory,Achievement,-0.282842712474619,argeeableness
Associative Memory,Persistence,,argeeableness
Associative Memory,Dependability,-0.0,argeeableness
Associative Memory,Cautiousness,,argeeableness
Associative Memory,Orderliness,-0.0,argeeableness
Associative Memory,Procrastination avoidness,-0.0,argeeableness
Associative Memory,Routine seeking,-0.0,argeeableness
Associative Memory,Cold efficiency,-0.0,argeeableness
Associative Memory,Judging-Perceiving,-0.17320508075688773,argeeableness
Associative Memory,Self control,-0.0,argeeableness
Associative Memory,Type A,-0.0,argeeableness
Associative Memory,Achievement via Independence,-0.0,argeeableness
Associative Memory,Rugged individualism,-0.33166247903553997,argeeableness
Meaningful Memory,Agreeableness,,argeeableness
Meaningful Memory,Compassion,-0.0,argeeableness
Meaningful Memory,Politeness,-0.0,argeeableness
Meaningful Memory,Tender Mindedness,-0.0,argeeableness
Meaningful Memory,Nurturance,-0.0,argeeableness
Meaningful Memory,Cooperation,-0.0,argeeableness
Meaningful Memory,Lack of aggression,-0.0,argeeableness
Meaningful Memory,Modesty,-0.0,argeeableness
Meaningful Memory,Non manipulative,-0.0,argeeableness
Meaningful Memory,Warmth,,argeeableness
Meaningful Memory,Interpersonal sensitivity,-0.0,argeeableness
Meaningful Memory,Customer service,-0.0,argeeableness
Meaningful Memory,Trust,-0.0,argeeableness
Meaningful Memory,Machiavellianism,-0.0,argeeableness
Meaningful Memory,Self monitoring,-0.0,argeeableness
Meaningful Memory,Conscientiousness,-0.1414213562373095,argeeableness
Meaningful Memory,Industriousness,-0.0,argeeableness
Meaningful Memory,Orderliness,,argeeableness
Meaningful Memory,Achievement,-0.0,argeeableness
Meaningful Memory,Persistence,-0.0,argeeableness
Meaningful Memory,Dependability,-0.0,argeeableness
Meaningful Memory,Cautiousness,-0.0,argeeableness
Meaningful Memory,Orderliness,-0.0,argeeableness
Meaningful Memory,Procrastination avoidness,-0.0,argeeableness
Meaningful Memory,Routine seeking,-0.0,argeeableness
Meaningful Memory,Cold efficiency,-0.0,argeeableness
Meaningful Memory,Judging-Perceiving,-0.0,argeeableness
Meaningful Memory,Self control,-0.0,argeeableness
Meaningful Memory,Type A,-0.0,argeeableness
Meaningful Memory,Achievement via Independence,-0.0,argeeableness
Meaningful Memory,Rugged individualism,-0.0,argeeableness
Episodic Memory,Agreeableness,,argeeableness
Episodic Memory,Compassion,-0.0,argeeableness
Episodic Memory,Politeness,-0.0,argeeableness
Episodic Memory,Tender Mindedness,-0.0,argeeableness
Episodic Memory,Nurturance,-0.0,argeeableness
Episodic Memory,Cooperation,-0.0,argeeableness
Episodic Memory,Lack of aggression,-0.0,argeeableness
Episodic Memory,Modesty,-0.0,argeeableness
Episodic Memory,Non manipulative,-0.0,argeeableness
Episodic Memory,Warmth,-0.0,argeeableness
Episodic Memory,Interpersonal sensitivity,-0.0,argeeableness
Episodic Memory,Customer service,-0.0,argeeableness
Episodic Memory,Trust,-0.0,argeeableness
Episodic Memory,Machiavellianism,-0.0,argeeableness
Episodic Memory,Self monitoring,-0.0,argeeableness
Episodic Memory,Conscientiousness,,argeeableness
Episodic Memory,Industriousness,-0.0,argeeableness
Episodic Memory,Orderliness,-0.0,argeeableness
Episodic Memory,Achievement,-0.0,argeeableness
Episodic Memory,Persistence,-0.0,argeeableness
Episodic Memory,Dependability,-0.0,argeeableness
Episodic Memory,Cautiousness,-0.0,argeeableness
Episodic Memory,Orderliness,-0.0,argeeableness
Episodic Memory,Procrastination avoidness,-0.0,argeeableness
Episodic Memory,Routine seeking,-0.0,argeeableness
Episodic Memory,Cold efficiency,-0.0,argeeableness
Episodic Memory,Judging-Perceiving,-0.0,argeeableness
Episodic Memory,Self control,-0.0,argeeableness
Episodic Memory,Type A,-0.0,argeeableness
Episodic Memory,Achievement via Independence,-0.0,argeeableness
Episodic Memory,Rugged individualism,-0.0,argeeableness
Free Recall Memory,Agreeableness,,argeeableness
Free Recall Memory,Compassion,,argeeableness
Free Recall Memory,Politeness,,argeeableness
Free Recall Memory,Tender Mindedness,,argeeableness
Free Recall Memory,Nurturance,,argeeableness
Free Recall Memory,Cooperation,-0.0,argeeableness
Free Recall Memory,Lack of aggression,-0.0,argeeableness
Free Recall Memory,Modesty,-0.0,argeeableness
Free Recall Memory,Non manipulative,-0.0,argeeableness
Free Recall Memory,Warmth,,argeeableness
Free Recall Memory,Interpersonal sensitivity,-0.0,argeeableness
Free Recall Memory,Customer service,-0.0,argeeableness
Free Recall Memory,Trust,-0.0,argeeableness
Free Recall Memory,Machiavellianism,-0.0,argeeableness
Free Recall Memory,Self monitoring,-0.0,argeeableness
Free Recall Memory,Conscientiousness,,argeeableness
Free Recall Memory,Industriousness,,argeeableness
Free Recall Memory,Orderliness,,argeeableness
Free Recall Memory,Achievement,,argeeableness
Free Recall Memory,Persistence,,argeeableness
Free Recall Memory,Dependability,,argeeableness
Free Recall Memory,Cautiousness,,argeeableness
Free Recall Memory,Orderliness,,argeeableness
Free Recall Memory,Procrastination avoidness,-0.0,argeeableness
Free Recall Memory,Routine seeking,-0.469041575982343,argeeableness
Free Recall Memory,Cold efficiency,-0.0,argeeableness
Free Recall Memory,Judging-Perceiving,-0.22360679774997896,argeeableness
Free Recall Memory,Self control,-0.0,argeeableness
Free Recall Memory,Type A,-0.0,argeeableness
Free Recall Memory,Achievement via Independence,-0.0,argeeableness
Free Recall Memory,Rugged individualism,-0.0,argeeableness
Long Term Visual Memory,Agreeableness,-0.0,argeeableness
Long Term Visual Memory,Compassion,-0.0,argeeableness
Long Term Visual Memory,Politeness,-0.0,argeeableness
Long Term Visual Memory,Tender Mindedness,-0.0,argeeableness
Long Term Visual Memory,Nurturance,-0.0,argeeableness
Long Term Visual Memory,Cooperation,-0.0,argeeableness
Long Term Visual Memory,Lack of aggression,-0.0,argeeableness
Long Term Visual Memory,Modesty,-0.0,argeeableness
Long Term Visual Memory,Non manipulative,-0.0,argeeableness
Long Term Visual Memory,Warmth,-0.0,argeeableness
Long Term Visual Memory,Interpersonal sensitivity,-0.0,argeeableness
Long Term Visual Memory,Customer service,-0.0,argeeableness
Long Term Visual Memory,Trust,-0.0,argeeableness
Long Term Visual Memory,Machiavellianism,-0.0,argeeableness
Long Term Visual Memory,Self monitoring,-0.0,argeeableness
Long Term Visual Memory,Conscientiousness,,argeeableness
Long Term Visual Memory,Industriousness,,argeeableness
Long Term Visual Memory,Orderliness,-0.0,argeeableness
Long Term Visual Memory,Achievement,-0.0,argeeableness
Long Term Visual Memory,Persistence,-0.0,argeeableness
Long Term Visual Memory,Dependability,-0.0,argeeableness
Long Term Visual Memory,Cautiousness,-0.0,argeeableness
Long Term Visual Memory,Orderliness,-0.0,argeeableness
Long Term Visual Memory,Procrastination avoidness,-0.0,argeeableness
Long Term Visual Memory,Routine seeking,-0.0,argeeableness
Long Term Visual Memory,Cold efficiency,-0.0,argeeableness
Long Term Visual Memory,Judging-Perceiving,-0.0,argeeableness
Long Term Visual Memory,Self control,-0.0,argeeableness
Long Term Visual Memory,Type A,-0.0,argeeableness
Long Term Visual Memory,Achievement via Independence,-0.0,argeeableness
Long Term Visual Memory,Rugged individualism,-0.0,argeeableness
Retrieval Fluency,Agreeableness,,argeeableness
Retrieval Fluency,Compassion,-0.0,argeeableness
Retrieval Fluency,Politeness,-0.0,argeeableness
Retrieval Fluency,Tender Mindedness,-0.0,argeeableness
Retrieval Fluency,Nurturance,-0.0,argeeableness
Retrieval Fluency,Cooperation,-0.0,argeeableness
Retrieval Fluency,Lack of aggression,-0.0,argeeableness
Retrieval Fluency,Modesty,-0.0,argeeableness
Retrieval Fluency,Non manipulative,,argeeableness
Retrieval Fluency,Warmth,,argeeableness
Retrieval Fluency,Interpersonal sensitivity,-0.0,argeeableness
Retrieval Fluency,Customer service,,argeeableness
Retrieval Fluency,Trust,-0.2645751311064591,argeeableness
Retrieval Fluency,Machiavellianism,-0.0,argeeableness
Retrieval Fluency,Self monitoring,-0.0,argeeableness
Retrieval Fluency,Conscientiousness,,argeeableness
Retrieval Fluency,Industriousness,,argeeableness
Retrieval Fluency,Orderliness,-0.22360679774997896,argeeableness
Retrieval Fluency,Achievement,,argeeableness
Retrieval Fluency,Persistence,-0.0,argeeableness
Retrieval Fluency,Dependability,,argeeableness
Retrieval Fluency,Cautiousness,,argeeableness
Retrieval Fluency,Orderliness,,argeeableness
Retrieval Fluency,Procrastination avoidness,-0.0,argeeableness
Retrieval Fluency,Routine seeking,,argeeableness
Retrieval Fluency,Cold efficiency,-0.0,argeeableness
Retrieval Fluency,Judging-Perceiving,-0.0,argeeableness
Retrieval Fluency,Self control,-0.8660254037844386,argeeableness
Retrieval Fluency,Type A,-0.0,argeeableness
Retrieval Fluency,Achievement via Independence,,argeeableness
Retrieval Fluency,Rugged individualism,,argeeableness
Ideational Fluency,Agreeableness,,argeeableness
Ideational Fluency,Compassion,,argeeableness
Ideational Fluency,Politeness,-0.3,argeeableness
Ideational Fluency,Tender Mindedness,-0.0,argeeableness
Ideational Fluency,Nurturance,-0.0,argeeableness
Ideational Fluency,Cooperation,-0.0,argeeableness
Ideational Fluency,Lack of aggression,,argeeableness
Ideational Fluency,Modesty,-0.5,argeeableness
Ideational Fluency,Non manipulative,-0.458257569495584,argeeableness
Ideational Fluency,Warmth,,argeeableness
Ideational Fluency,Interpersonal sensitivity,-0.0,argeeableness
Ideational Fluency,Customer service,,argeeableness
Ideational Fluency,Trust,-0.2449489742783178,argeeableness
Ideational Fluency,Machiavellianism,-0.0,argeeableness
Ideational Fluency,Self monitoring,-0.0,argeeableness
Ideational Fluency,Conscientiousness,-0.0,argeeableness
Ideational Fluency,Industriousness,,argeeableness
Ideational Fluency,Orderliness,,argeeableness
Ideational Fluency,Achievement,,argeeableness
Ideational Fluency,Persistence,,argeeableness
Ideational Fluency,Dependability,,argeeableness
Ideational Fluency,Cautiousness,-0.34641016151377546,argeeableness
Ideational Fluency,Orderliness,-0.1414213562373095,argeeableness
Ideational Fluency,Procrastination avoidness,-0.0,argeeableness
Ideational Fluency,Routine seeking,-0.0,argeeableness
Ideational Fluency,Cold efficiency,-0.2,argeeableness
Ideational Fluency,Judging-Perceiving,-0.41231056256176607,argeeableness
Ideational Fluency,Self control,,argeeableness
Ideational Fluency,Type A,-0.0,argeeableness
Ideational Fluency,Achievement via Independence,-0.1414213562373095,argeeableness
Ideational Fluency,Rugged individualism,,argeeableness
Associational Fluency,Agreeableness,,argeeableness
Associational Fluency,Compassion,-0.1414213562373095,argeeableness
Associational Fluency,Politeness,,argeeableness
Associational Fluency,Tender Mindedness,-0.0,argeeableness
Associational Fluency,Nurturance,-0.0,argeeableness
Associational Fluency,Cooperation,-0.0,argeeableness
Associational Fluency,Lack of aggression,-0.0,argeeableness
Associational Fluency,Modesty,-0.0,argeeableness
Associational Fluency,Non manipulative,-0.458257569495584,argeeableness
Associational Fluency,Warmth,,argeeableness
Associational Fluency,Interpersonal sensitivity,-0.0,argeeableness
Associational Fluency,Customer service,,argeeableness
Associational Fluency,Trust,-0.1414213562373095,argeeableness
Associational Fluency,Machiavellianism,-0.0,argeeableness
Associational Fluency,Self monitoring,-0.0,argeeableness
Associational Fluency,Conscientiousness,,argeeableness
Associational Fluency,Industriousness,,argeeableness
Associational Fluency,Orderliness,,argeeableness
Associational Fluency,Achievement,,argeeableness
Associational Fluency,Persistence,,argeeableness
Associational Fluency,Dependability,,argeeableness
Associational Fluency,Cautiousness,-0.2645751311064591,argeeableness
Associational Fluency,Orderliness,-0.3,argeeableness
Associational Fluency,Procrastination avoidness,-0.0,argeeableness
Associational Fluency,Routine seeking,-0.0,argeeableness
Associational Fluency,Cold efficiency,-0.3872983346207417,argeeableness
Associational Fluency,Judging-Perceiving,-0.4,argeeableness
Associational Fluency,Self control,-0.0,argeeableness
Associational Fluency,Type A,-0.0,argeeableness
Associational Fluency,Achievement via Independence,-0.1414213562373095,argeeableness
Associational Fluency,Rugged individualism,,argeeableness
Expressional Fluency,Agreeableness,,argeeableness
Expressional Fluency,Compassion,-0.0,argeeableness
Expressional Fluency,Politeness,-0.0,argeeableness
Expressional Fluency,Tender Mindedness,-0.0,argeeableness
Expressional Fluency,Nurturance,-0.0,argeeableness
Expressional Fluency,Cooperation,-0.0,argeeableness
Expressional Fluency,Lack of aggression,-0.0,argeeableness
Expressional Fluency,Modesty,-0.0,argeeableness
Expressional Fluency,Non manipulative,-0.4898979485566356,argeeableness
Expressional Fluency,Warmth,,argeeableness
Expressional Fluency,Interpersonal sensitivity,-0.0,argeeableness
Expressional Fluency,Customer service,,argeeableness
Expressional Fluency,Trust,-0.2449489742783178,argeeableness
Expressional Fluency,Machiavellianism,-0.0,argeeableness
Expressional Fluency,Self monitoring,-0.0,argeeableness
Expressional Fluency,Conscientiousness,-0.2645751311064591,argeeableness
Expressional Fluency,Industriousness,-0.0,argeeableness
Expressional Fluency,Orderliness,,argeeableness
Expressional Fluency,Achievement,,argeeableness
Expressional Fluency,Persistence,-0.34641016151377546,argeeableness
Expressional Fluency,Dependability,-0.5477225575051661,argeeableness
Expressional Fluency,Cautiousness,-0.4,argeeableness
Expressional Fluency,Orderliness,-0.469041575982343,argeeableness
Expressional Fluency,Procrastination avoidness,-0.0,argeeableness
Expressional Fluency,Routine seeking,-0.0,argeeableness
Expressional Fluency,Cold efficiency,-0.3,argeeableness
Expressional Fluency,Judging-Perceiving,-0.4898979485566356,argeeableness
Expressional Fluency,Self control,-0.0,argeeableness
Expressional Fluency,Type A,-0.0,argeeableness
Expressional Fluency,Achievement via Independence,-0.41231056256176607,argeeableness
Expressional Fluency,Rugged individualism,,argeeableness
Sensitivity to Probs. and Alt. Solutions,Agreeableness,-0.5099019513592785,argeeableness
Sensitivity to Probs. and Alt. Solutions,Compassion,-0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Politeness,-0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Tender Mindedness,-0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Nurturance,-0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Cooperation,-0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Lack of aggression,-0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Modesty,-0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Non manipulative,-0.5291502622129182,argeeableness
