ability,trait,value,table_name
Induction,Warmth,-0.08,argeeableness
Induction,Interpersonal sensitivity,0.05,argeeableness
Induction,Customer service,0.12,argeeableness
Induction,Trust,0.14,argeeableness
Induction,Machiavellianism,0.11,argeeableness
Induction,Self monitoring,0.06,argeeableness
Induction,Conscientiousness,-0.07,argeeableness
Induction,Industriousness,0.12,argeeableness
Induction,Orderliness,-0.17,argeeableness
Induction,Achievement,0.0,argeeableness
Induction,Persistence,0.06,argeeableness
Induction,Dependability,-0.03,argeeableness
Induction,Cautiousness,0.0,argeeableness
Induction,Orderliness,0.07,argeeableness
Induction,Procrastination avoidness,0.04,argeeableness
Induction,Routine seeking,-0.32,argeeableness
Induction,Cold efficiency,0.04,argeeableness
Induction,Judging-Perceiving,-0.17,argeeableness
Induction,Self control,-0.03,argeeableness
Induction,Type A,-0.03,argeeableness
Induction,Achievement via Independence,0.24,argeeableness
Induction,Rugged individualism,0.05,argeeableness
General Sequential Reasoning,Agreeableness,-0.02,argeeableness
General Sequential Reasoning,Compassion,-0.26,argeeableness
General Sequential Reasoning,Politeness,0.0,argeeableness
General Sequential Reasoning,Tender Mindedness,-0.03,argeeableness
General Sequential Reasoning,Nurturance,0.01,argeeableness
General Sequential Reasoning,Cooperation,-0.01,argeeableness
General Sequential Reasoning,Lack of aggression,-0.02,argeeableness
General Sequential Reasoning,Modesty,0.02,argeeableness
General Sequential Reasoning,Non manipulative,0.11,argeeableness
General Sequential Reasoning,Warmth,-0.13,argeeableness
General Sequential Reasoning,Interpersonal sensitivity,-0.05,argeeableness
General Sequential Reasoning,Customer service,-0.24,argeeableness
General Sequential Reasoning,Trust,0.05,argeeableness
General Sequential Reasoning,Machiavellianism,0.11,argeeableness
General Sequential Reasoning,Self monitoring,0.0,argeeableness
General Sequential Reasoning,Conscientiousness,-0.08,argeeableness
General Sequential Reasoning,Industriousness,-0.06,argeeableness
General Sequential Reasoning,Orderliness,-0.11,argeeableness
General Sequential Reasoning,Achievement,0.05,argeeableness
General Sequential Reasoning,Persistence,0.06,argeeableness
General Sequential Reasoning,Dependability,0.02,argeeableness
General Sequential Reasoning,Cautiousness,-0.19,argeeableness
General Sequential Reasoning,Orderliness,-0.16,argeeableness
General Sequential Reasoning,Procrastination avoidness,0.0,argeeableness
General Sequential Reasoning,Routine seeking,0.07,argeeableness
General Sequential Reasoning,Cold efficiency,0.12,argeeableness
General Sequential Reasoning,Judging-Perceiving,-0.09,argeeableness
General Sequential Reasoning,Self control,-0.0,argeeableness
General Sequential Reasoning,Type A,0.11,argeeableness
General Sequential Reasoning,Achievement via Independence,-0.09,argeeableness
General Sequential Reasoning,Rugged individualism,0.04,argeeableness
Quantitative Reasoning,Agreeableness,-0.08,argeeableness
Quantitative Reasoning,Compassion,-0.05,argeeableness
Quantitative Reasoning,Politeness,-0.22,argeeableness
Quantitative Reasoning,Tender Mindedness,-0.05,argeeableness
Quantitative Reasoning,Nurturance,-0.18,argeeableness
Quantitative Reasoning,Cooperation,0.01,argeeableness
Quantitative Reasoning,Lack of aggression,0.04,argeeableness
Quantitative Reasoning,Modesty,-0.12,argeeableness
Quantitative Reasoning,Non manipulative,-0.02,argeeableness
Quantitative Reasoning,Warmth,-0.16,argeeableness
Quantitative Reasoning,Interpersonal sensitivity,0.04,argeeableness
Quantitative Reasoning,Customer service,0.11,argeeableness
Quantitative Reasoning,Trust,0.06,argeeableness
Quantitative Reasoning,Machiavellianism,0.18,argeeableness
Quantitative Reasoning,Self monitoring,0.0,argeeableness
Quantitative Reasoning,Conscientiousness,-0.07,argeeableness
Quantitative Reasoning,Industriousness,-0.09,argeeableness
Quantitative Reasoning,Orderliness,-0.24,argeeableness
Quantitative Reasoning,Achievement,0.03,argeeableness
Quantitative Reasoning,Persistence,-0.08,argeeableness
Quantitative Reasoning,Dependability,0.05,argeeableness
Quantitative Reasoning,Cautiousness,0.05,argeeableness
Quantitative Reasoning,Orderliness,-0.0,argeeableness
Quantitative Reasoning,Procrastination avoidness,0.07,argeeableness
Quantitative Reasoning,Routine seeking,-0.22,argeeableness
Quantitative Reasoning,Cold efficiency,0.0,argeeableness
Quantitative Reasoning,Judging-Perceiving,-0.22,argeeableness
Quantitative Reasoning,Self control,-0.19,argeeableness
Quantitative Reasoning,Type A,0.0,argeeableness
Quantitative Reasoning,Achievement via Independence,0.07,argeeableness
Quantitative Reasoning,Rugged individualism,0.14,argeeableness
Memory,Agreeableness,0.05,argeeableness
Memory,Compassion,0.0,argeeableness
Memory,Politeness,0.0,argeeableness
Memory,Tender Mindedness,0.3,argeeableness
Memory,Nurturance,0.28,argeeableness
Memory,Cooperation,-0.07,argeeableness
Memory,Lack of aggression,-0.01,argeeableness
Memory,Modesty,0.03,argeeableness
Memory,Non manipulative,0.28,argeeableness
Memory,Warmth,0.11,argeeableness
Memory,Interpersonal sensitivity,0.0,argeeableness
Memory,Customer service,0.0,argeeableness
Memory,Trust,0.15,argeeableness
Memory,Machiavellianism,0.0,argeeableness
Memory,Self monitoring,0.0,argeeableness
Memory,Conscientiousness,0.05,argeeableness
Memory,Industriousness,0.15,argeeableness
Memory,Orderliness,0.04,argeeableness
Memory,Achievement,0.04,argeeableness
Memory,Persistence,0.0,argeeableness
Memory,Dependability,0.08,argeeableness
Memory,Cautiousness,-0.1,argeeableness
Memory,Orderliness,0.08,argeeableness
Memory,Procrastination avoidness,0.0,argeeableness
Memory,Routine seeking,-0.49,argeeableness
Memory,Cold efficiency,0.0,argeeableness
Memory,Judging-Perceiving,0.0,argeeableness
Memory,Self control,0.0,argeeableness
Memory,Type A,0.0,argeeableness
Memory,Achievement via Independence,0.0,argeeableness
Memory,Rugged individualism,0.0,argeeableness
Long Term Storage and Retrieval,Agreeableness,-0.02,argeeableness
Long Term Storage and Retrieval,Compassion,0.02,argeeableness
Long Term Storage and Retrieval,Politeness,-0.02,argeeableness
Long Term Storage and Retrieval,Tender Mindedness,0.0,argeeableness
Long Term Storage and Retrieval,Nurturance,0.0,argeeableness
Long Term Storage and Retrieval,Cooperation,0.0,argeeableness
Long Term Storage and Retrieval,Lack of aggression,0.0,argeeableness
Long Term Storage and Retrieval,Modesty,0.0,argeeableness
Long Term Storage and Retrieval,Non manipulative,-0.12,argeeableness
Long Term Storage and Retrieval,Warmth,0.05,argeeableness
Long Term Storage and Retrieval,Interpersonal sensitivity,0.0,argeeableness
Long Term Storage and Retrieval,Customer service,0.0,argeeableness
Long Term Storage and Retrieval,Trust,0.0,argeeableness
Long Term Storage and Retrieval,Machiavellianism,0.0,argeeableness
Long Term Storage and Retrieval,Self monitoring,0.0,argeeableness
Long Term Storage and Retrieval,Conscientiousness,0.01,argeeableness
Long Term Storage and Retrieval,Industriousness,0.06,argeeableness
Long Term Storage and Retrieval,Orderliness,0.0,argeeableness
Long Term Storage and Retrieval,Achievement,0.24,argeeableness
Long Term Storage and Retrieval,Persistence,0.0,argeeableness
Long Term Storage and Retrieval,Dependability,0.02,argeeableness
Long Term Storage and Retrieval,Cautiousness,0.0,argeeableness
Long Term Storage and Retrieval,Orderliness,0.0,argeeableness
Long Term Storage and Retrieval,Procrastination avoidness,0.0,argeeableness
Long Term Storage and Retrieval,Routine seeking,0.0,argeeableness
Long Term Storage and Retrieval,Cold efficiency,0.0,argeeableness
Long Term Storage and Retrieval,Judging-Perceiving,-0.03,argeeableness
Long Term Storage and Retrieval,Self control,0.0,argeeableness
Long Term Storage and Retrieval,Type A,0.0,argeeableness
Long Term Storage and Retrieval,Achievement via Independence,0.0,argeeableness
Long Term Storage and Retrieval,Rugged individualism,-0.02,argeeableness
Learning Efficiency,Agreeableness,0.02,argeeableness
Learning Efficiency,Compassion,0.08,argeeableness
Learning Efficiency,Politeness,0.06,argeeableness
Learning Efficiency,Tender Mindedness,-0.02,argeeableness
Learning Efficiency,Nurturance,0.06,argeeableness
Learning Efficiency,Cooperation,0.06,argeeableness
Learning Efficiency,Lack of aggression,0.0,argeeableness
Learning Efficiency,Modesty,-0.04,argeeableness
Learning Efficiency,Non manipulative,0.09,argeeableness
Learning Efficiency,Warmth,0.02,argeeableness
Learning Efficiency,Interpersonal sensitivity,0.0,argeeableness
Learning Efficiency,Customer service,0.0,argeeableness
Learning Efficiency,Trust,0.03,argeeableness
Learning Efficiency,Machiavellianism,0.0,argeeableness
Learning Efficiency,Self monitoring,0.0,argeeableness
Learning Efficiency,Conscientiousness,0.03,argeeableness
Learning Efficiency,Industriousness,0.03,argeeableness
Learning Efficiency,Orderliness,-0.08,argeeableness
Learning Efficiency,Achievement,-0.0,argeeableness
Learning Efficiency,Persistence,-0.1,argeeableness
Learning Efficiency,Dependability,0.04,argeeableness
Learning Efficiency,Cautiousness,0.0,argeeableness
Learning Efficiency,Orderliness,0.03,argeeableness
Learning Efficiency,Procrastination avoidness,0.0,argeeableness
Learning Efficiency,Routine seeking,0.0,argeeableness
Learning Efficiency,Cold efficiency,0.0,argeeableness
Learning Efficiency,Judging-Perceiving,0.0,argeeableness
Learning Efficiency,Self control,0.0,argeeableness
Learning Efficiency,Type A,0.0,argeeableness
Learning Efficiency,Achievement via Independence,0.0,argeeableness
Learning Efficiency,Rugged individualism,0.0,argeeableness
Associative Memory,Agreeableness,0.03,argeeableness
Associative Memory,Compassion,0.0,argeeableness
Associative Memory,Politeness,0.0,argeeableness
Associative Memory,Tender Mindedness,0.0,argeeableness
Associative Memory,Nurturance,-0.01,argeeableness
Associative Memory,Cooperation,-0.25,argeeableness
Associative Memory,Lack of aggression,0.0,argeeableness
Associative Memory,Modesty,0.0,argeeableness
Associative Memory,Non manipulative,0.01,argeeableness
Associative Memory,Warmth,0.04,argeeableness
Associative Memory,Interpersonal sensitivity,0.08,argeeableness
Associative Memory,Customer service,0.0,argeeableness
Associative Memory,Trust,-0.01,argeeableness
Associative Memory,Machiavellianism,0.0,argeeableness
Associative Memory,Self monitoring,0.0,argeeableness
Associative Memory,Conscientiousness,-0.14,argeeableness
Associative Memory,Industriousness,0.0,argeeableness
Associative Memory,Orderliness,0.12,argeeableness
Associative Memory,Achievement,-0.08,argeeableness
Associative Memory,Persistence,0.09,argeeableness
Associative Memory,Dependability,0.0,argeeableness
Associative Memory,Cautiousness,0.06,argeeableness
Associative Memory,Orderliness,0.0,argeeableness
Associative Memory,Procrastination avoidness,0.0,argeeableness
Associative Memory,Routine seeking,0.0,argeeableness
Associative Memory,Cold efficiency,0.0,argeeableness
Associative Memory,Judging-Perceiving,-0.03,argeeableness
Associative Memory,Self control,0.0,argeeableness
Associative Memory,Type A,0.0,argeeableness
Associative Memory,Achievement via Independence,0.0,argeeableness
Associative Memory,Rugged individualism,-0.11,argeeableness
Meaningful Memory,Agreeableness,0.05,argeeableness
Meaningful Memory,Compassion,0.0,argeeableness
Meaningful Memory,Politeness,0.0,argeeableness
Meaningful Memory,Tender Mindedness,0.0,argeeableness
Meaningful Memory,Nurturance,0.0,argeeableness
Meaningful Memory,Cooperation,0.0,argeeableness
Meaningful Memory,Lack of aggression,0.0,argeeableness
Meaningful Memory,Modesty,0.0,argeeableness
Meaningful Memory,Non manipulative,0.0,argeeableness
Meaningful Memory,Warmth,0.03,argeeableness
Meaningful Memory,Interpersonal sensitivity,0.0,argeeableness
Meaningful Memory,Customer service,0.0,argeeableness
Meaningful Memory,Trust,0.0,argeeableness
Meaningful Memory,Machiavellianism,0.0,argeeableness
Meaningful Memory,Self monitoring,0.0,argeeableness
Meaningful Memory,Conscientiousness,-0.02,argeeableness
Meaningful Memory,Industriousness,0.0,argeeableness
Meaningful Memory,Orderliness,0.2,argeeableness
Meaningful Memory,Achievement,0.0,argeeableness
Meaningful Memory,Persistence,0.0,argeeableness
Meaningful Memory,Dependability,0.0,argeeableness
Meaningful Memory,Cautiousness,0.0,argeeableness
Meaningful Memory,Orderliness,0.0,argeeableness
Meaningful Memory,Procrastination avoidness,0.0,argeeableness
Meaningful Memory,Routine seeking,0.0,argeeableness
Meaningful Memory,Cold efficiency,0.0,argeeableness
Meaningful Memory,Judging-Perceiving,0.0,argeeableness
Meaningful Memory,Self control,0.0,argeeableness
Meaningful Memory,Type A,0.0,argeeableness
Meaningful Memory,Achievement via Independence,0.0,argeeableness
Meaningful Memory,Rugged individualism,0.0,argeeableness
Episodic Memory,Agreeableness,0.1,argeeableness
Episodic Memory,Compassion,0.0,argeeableness
Episodic Memory,Politeness,0.0,argeeableness
Episodic Memory,Tender Mindedness,0.0,argeeableness
Episodic Memory,Nurturance,0.0,argeeableness
Episodic Memory,Cooperation,0.0,argeeableness
Episodic Memory,Lack of aggression,0.0,argeeableness
Episodic Memory,Modesty,0.0,argeeableness
Episodic Memory,Non manipulative,0.0,argeeableness
Episodic Memory,Warmth,0.0,argeeableness
Episodic Memory,Interpersonal sensitivity,0.0,argeeableness
Episodic Memory,Customer service,0.0,argeeableness
Episodic Memory,Trust,0.0,argeeableness
Episodic Memory,Machiavellianism,0.0,argeeableness
Episodic Memory,Self monitoring,0.0,argeeableness
Episodic Memory,Conscientiousness,0.1,argeeableness
Episodic Memory,Industriousness,0.0,argeeableness
Episodic Memory,Orderliness,0.0,argeeableness
Episodic Memory,Achievement,0.0,argeeableness
Episodic Memory,Persistence,0.0,argeeableness
Episodic Memory,Dependability,0.0,argeeableness
Episodic Memory,Cautiousness,0.0,argeeableness
Episodic Memory,Orderliness,0.0,argeeableness
Episodic Memory,Procrastination avoidness,0.0,argeeableness
Episodic Memory,Routine seeking,0.0,argeeableness
Episodic Memory,Cold efficiency,0.0,argeeableness
Episodic Memory,Judging-Perceiving,0.0,argeeableness
Episodic Memory,Self control,0.0,argeeableness
Episodic Memory,Type A,0.0,argeeableness
Episodic Memory,Achievement via Independence,0.0,argeeableness
Episodic Memory,Rugged individualism,0.0,argeeableness
Free Recall Memory,Agreeableness,0.09,argeeableness
Free Recall Memory,Compassion,0.07,argeeableness
Free Recall Memory,Politeness,0.02,argeeableness
Free Recall Memory,Tender Mindedness,0.08,argeeableness
Free Recall Memory,Nurturance,0.02,argeeableness
Free Recall Memory,Cooperation,0.0,argeeableness
Free Recall Memory,Lack of aggression,0.0,argeeableness
Free Recall Memory,Modesty,0.0,argeeableness
Free Recall Memory,Non manipulative,0.0,argeeableness
Free Recall Memory,Warmth,0.15,argeeableness
Free Recall Memory,Interpersonal sensitivity,0.0,argeeableness
Free Recall Memory,Customer service,0.0,argeeableness
Free Recall Memory,Trust,0.0,argeeableness
Free Recall Memory,Machiavellianism,0.0,argeeableness
Free Recall Memory,Self monitoring,0.0,argeeableness
Free Recall Memory,Conscientiousness,0.06,argeeableness
Free Recall Memory,Industriousness,0.06,argeeableness
Free Recall Memory,Orderliness,0.1,argeeableness
Free Recall Memory,Achievement,0.19,argeeableness
Free Recall Memory,Persistence,0.04,argeeableness
Free Recall Memory,Dependability,0.15,argeeableness
Free Recall Memory,Cautiousness,0.13,argeeableness
Free Recall Memory,Orderliness,0.1,argeeableness
Free Recall Memory,Procrastination avoidness,0.0,argeeableness
Free Recall Memory,Routine seeking,-0.22,argeeableness
Free Recall Memory,Cold efficiency,0.0,argeeableness
Free Recall Memory,Judging-Perceiving,-0.05,argeeableness
Free Recall Memory,Self control,0.0,argeeableness
Free Recall Memory,Type A,0.0,argeeableness
Free Recall Memory,Achievement via Independence,0.0,argeeableness
Free Recall Memory,Rugged individualism,0.0,argeeableness
Long Term Visual Memory,Agreeableness,0.0,argeeableness
Long Term Visual Memory,Compassion,0.0,argeeableness
Long Term Visual Memory,Politeness,0.0,argeeableness
Long Term Visual Memory,Tender Mindedness,0.0,argeeableness
Long Term Visual Memory,Nurturance,0.0,argeeableness
Long Term Visual Memory,Cooperation,0.0,argeeableness
Long Term Visual Memory,Lack of aggression,0.0,argeeableness
Long Term Visual Memory,Modesty,0.0,argeeableness
Long Term Visual Memory,Non manipulative,0.0,argeeableness
Long Term Visual Memory,Warmth,0.0,argeeableness
Long Term Visual Memory,Interpersonal sensitivity,0.0,argeeableness
Long Term Visual Memory,Customer service,0.0,argeeableness
Long Term Visual Memory,Trust,0.0,argeeableness
Long Term Visual Memory,Machiavellianism,0.0,argeeableness
Long Term Visual Memory,Self monitoring,0.0,argeeableness
Long Term Visual Memory,Conscientiousness,0.04,argeeableness
Long Term Visual Memory,Industriousness,0.18,argeeableness
Long Term Visual Memory,Orderliness,0.0,argeeableness
Long Term Visual Memory,Achievement,0.0,argeeableness
Long Term Visual Memory,Persistence,0.0,argeeableness
Long Term Visual Memory,Dependability,0.0,argeeableness
Long Term Visual Memory,Cautiousness,0.0,argeeableness
Long Term Visual Memory,Orderliness,0.0,argeeableness
Long Term Visual Memory,Procrastination avoidness,0.0,argeeableness
Long Term Visual Memory,Routine seeking,0.0,argeeableness
Long Term Visual Memory,Cold efficiency,0.0,argeeableness
Long Term Visual Memory,Judging-Perceiving,0.0,argeeableness
Long Term Visual Memory,Self control,0.0,argeeableness
Long Term Visual Memory,Type A,0.0,argeeableness
Long Term Visual Memory,Achievement via Independence,0.0,argeeableness
Long Term Visual Memory,Rugged individualism,0.0,argeeableness
Retrieval Fluency,Agreeableness,0.07,argeeableness
Retrieval Fluency,Compassion,0.0,argeeableness
Retrieval Fluency,Politeness,0.0,argeeableness
Retrieval Fluency,Tender Mindedness,0.0,argeeableness
Retrieval Fluency,Nurturance,0.0,argeeableness
Retrieval Fluency,Cooperation,0.0,argeeableness
Retrieval Fluency,Lack of aggression,0.0,argeeableness
Retrieval Fluency,Modesty,0.0,argeeableness
Retrieval Fluency,Non manipulative,0.02,argeeableness
Retrieval Fluency,Warmth,0.09,argeeableness
Retrieval Fluency,Interpersonal sensitivity,0.0,argeeableness
Retrieval Fluency,Customer service,0.12,argeeableness
Retrieval Fluency,Trust,-0.07,argeeableness
Retrieval Fluency,Machiavellianism,0.0,argeeableness
Retrieval Fluency,Self monitoring,0.0,argeeableness
Retrieval Fluency,Conscientiousness,0.06,argeeableness
Retrieval Fluency,Industriousness,0.23,argeeableness
Retrieval Fluency,Orderliness,-0.05,argeeableness
Retrieval Fluency,Achievement,0.13,argeeableness
Retrieval Fluency,Persistence,0.0,argeeableness
Retrieval Fluency,Dependability,0.2,argeeableness
Retrieval Fluency,Cautiousness,0.04,argeeableness
Retrieval Fluency,Orderliness,0.11,argeeableness
Retrieval Fluency,Procrastination avoidness,0.0,argeeableness
Retrieval Fluency,Routine seeking,0.02,argeeableness
Retrieval Fluency,Cold efficiency,0.0,argeeableness
Retrieval Fluency,Judging-Perceiving,0.0,argeeableness
Retrieval Fluency,Self control,-0.75,argeeableness
Retrieval Fluency,Type A,0.0,argeeableness
Retrieval Fluency,Achievement via Independence,0.27,argeeableness
Retrieval Fluency,Rugged individualism,0.05,argeeableness
Ideational Fluency,Agreeableness,0.02,argeeableness
Ideational Fluency,Compassion,0.02,argeeableness
Ideational Fluency,Politeness,-0.09,argeeableness
Ideational Fluency,Tender Mindedness,0.0,argeeableness
Ideational Fluency,Nurturance,0.0,argeeableness
Ideational Fluency,Cooperation,0.0,argeeableness
Ideational Fluency,Lack of aggression,0.02,argeeableness
Ideational Fluency,Modesty,-0.25,argeeableness
Ideational Fluency,Non manipulative,-0.21,argeeableness
Ideational Fluency,Warmth,0.1,argeeableness
Ideational Fluency,Interpersonal sensitivity,0.0,argeeableness
Ideational Fluency,Customer service,0.04,argeeableness
Ideational Fluency,Trust,-0.06,argeeableness
Ideational Fluency,Machiavellianism,0.0,argeeableness
Ideational Fluency,Self monitoring,0.0,argeeableness
Ideational Fluency,Conscientiousness,0.0,argeeableness
Ideational Fluency,Industriousness,0.08,argeeableness
Ideational Fluency,Orderliness,0.05,argeeableness
Ideational Fluency,Achievement,0.17,argeeableness
Ideational Fluency,Persistence,0.11,argeeableness
Ideational Fluency,Dependability,0.09,argeeableness
Ideational Fluency,Cautiousness,-0.12,argeeableness
Ideational Fluency,Orderliness,-0.02,argeeableness
Ideational Fluency,Procrastination avoidness,0.0,argeeableness
Ideational Fluency,Routine seeking,0.0,argeeableness
Ideational Fluency,Cold efficiency,-0.04,argeeableness
Ideational Fluency,Judging-Perceiving,-0.17,argeeableness
Ideational Fluency,Self control,0.06,argeeableness
Ideational Fluency,Type A,0.0,argeeableness
Ideational Fluency,Achievement via Independence,-0.02,argeeableness
Ideational Fluency,Rugged individualism,0.21,argeeableness
Associational Fluency,Agreeableness,0.0,argeeableness
Associational Fluency,Compassion,-0.02,argeeableness
Associational Fluency,Politeness,0.01,argeeableness
Associational Fluency,Tender Mindedness,0.0,argeeableness
Associational Fluency,Nurturance,0.0,argeeableness
Associational Fluency,Cooperation,0.0,argeeableness
Associational Fluency,Lack of aggression,0.0,argeeableness
Associational Fluency,Modesty,0.0,argeeableness
Associational Fluency,Non manipulative,-0.21,argeeableness
Associational Fluency,Warmth,0.0,argeeableness
Associational Fluency,Interpersonal sensitivity,0.0,argeeableness
Associational Fluency,Customer service,0.02,argeeableness
Associational Fluency,Trust,-0.02,argeeableness
Associational Fluency,Machiavellianism,0.0,argeeableness
Associational Fluency,Self monitoring,0.0,argeeableness
Associational Fluency,Conscientiousness,0.09,argeeableness
Associational Fluency,Industriousness,0.13,argeeableness
Associational Fluency,Orderliness,0.05,argeeableness
Associational Fluency,Achievement,0.1,argeeableness
Associational Fluency,Persistence,0.01,argeeableness
Associational Fluency,Dependability,0.09,argeeableness
Associational Fluency,Cautiousness,-0.07,argeeableness
Associational Fluency,Orderliness,-0.09,argeeableness
Associational Fluency,Procrastination avoidness,0.0,argeeableness
Associational Fluency,Routine seeking,0.0,argeeableness
Associational Fluency,Cold efficiency,-0.15,argeeableness
Associational Fluency,Judging-Perceiving,-0.16,argeeableness
Associational Fluency,Self control,0.0,argeeableness
Associational Fluency,Type A,0.0,argeeableness
Associational Fluency,Achievement via Independence,-0.02,argeeableness
Associational Fluency,Rugged individualism,0.12,argeeableness
Expressional Fluency,Agreeableness,0.03,argeeableness
Expressional Fluency,Compassion,0.0,argeeableness
Expressional Fluency,Politeness,0.0,argeeableness
Expressional Fluency,Tender Mindedness,0.0,argeeableness
Expressional Fluency,Nurturance,0.0,argeeableness
Expressional Fluency,Cooperation,0.0,argeeableness
Expressional Fluency,Lack of aggression,0.0,argeeableness
Expressional Fluency,Modesty,0.0,argeeableness
Expressional Fluency,Non manipulative,-0.24,argeeableness
Expressional Fluency,Warmth,0.12,argeeableness
Expressional Fluency,Interpersonal sensitivity,0.0,argeeableness
Expressional Fluency,Customer service,0.17,argeeableness
Expressional Fluency,Trust,-0.06,argeeableness
Expressional Fluency,Machiavellianism,0.0,argeeableness
Expressional Fluency,Self monitoring,0.0,argeeableness
Expressional Fluency,Conscientiousness,-0.07,argeeableness
Expressional Fluency,Industriousness,0.0,argeeableness
Expressional Fluency,Orderliness,0.02,argeeableness
Expressional Fluency,Achievement,0.06,argeeableness
Expressional Fluency,Persistence,-0.12,argeeableness
Expressional Fluency,Dependability,-0.3,argeeableness
Expressional Fluency,Cautiousness,-0.16,argeeableness
Expressional Fluency,Orderliness,-0.22,argeeableness
Expressional Fluency,Procrastination avoidness,0.0,argeeableness
Expressional Fluency,Routine seeking,0.0,argeeableness
Expressional Fluency,Cold efficiency,-0.09,argeeableness
Expressional Fluency,Judging-Perceiving,-0.24,argeeableness
Expressional Fluency,Self control,0.0,argeeableness
Expressional Fluency,Type A,0.0,argeeableness
Expressional Fluency,Achievement via Independence,-0.17,argeeableness
Expressional Fluency,Rugged individualism,0.15,argeeableness
Sensitivity to Probs. and Alt. Solutions,Agreeableness,-0.26,argeeableness
Sensitivity to Probs. and Alt. Solutions,Compassion,0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Politeness,0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Tender Mindedness,0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Nurturance,0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Cooperation,0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Lack of aggression,0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Modesty,0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Non manipulative,-0.28,argeeableness
Sensitivity to Probs. and Alt. Solutions,Warmth,0.05,argeeableness
Sensitivity to Probs. and Alt. Solutions,Interpersonal sensitivity,0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Customer service,0.0,argeeableness
Sensitivity to Probs. and Alt. Solutions,Trust,-0.12,argeeableness
Sensitivity to Probs. and Alt. Solutions,Machiavellianism,0.0,argeeableness
